Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
C,CP,2781941.073,486248.62,90.16
LOCAL1,CPL,2781869.208,486220.73,96.169
LOCAL5,CPL,2782038.477,486278.85,87.596
LOCAL5,CPL,2782038.477,486278.85,87.596
LOCAL6,CPL,2782093.304,486253.395,88.087
LOCAL6,CPL,2782093.304,486253.395,88.087
ROAD1,CROAD,2781988.14,486264.984,87.726
ROAD10,CROAD,2781985.035,486258.363,87.816
ROAD11,CROAD,2781978.556,486261.613,87.877
ROAD12,CROAD,2781979.126,486260.255,87.9
ROAD13,CROAD,2781979.538,486259.293,87.922
ROAD14,CROAD,2781979.977,486257.915,87.929
ROAD15,CROAD,2781980.314,486256.758,87.907
ROAD16,CROAD,2781973.954,486260.105,87.996
ROAD17,CROAD,2781974.393,486258.739,88.03
ROAD18,CROAD,2781974.804,486257.637,88.05
ROAD19,CROAD,2781975.255,486256.252,88.043
ROAD2,CROAD,2781988.607,486263.641,87.725
ROAD20,CROAD,2781975.599,486255.166,88.019
ROAD21,CROAD,2781969.022,486258.507,88.214
ROAD22,CROAD,2781969.511,486257.249,88.227
ROAD23,CROAD,2781970.07,486256.095,88.226
ROAD24,CROAD,2781970.575,486254.543,88.221
ROAD25,CROAD,2781970.875,486253.558,88.213
ROAD26,CROAD,2781964.499,486256.97,88.394
ROAD27,CROAD,2781964.902,486255.66,88.396
ROAD28,CROAD,2781965.334,486254.482,88.388
ROAD29,CROAD,2781965.743,486253.148,88.379
ROAD3,CROAD,2781988.976,486262.513,87.723
ROAD30,CROAD,2781966.179,486251.969,88.371
ROAD31,CROAD,2781959.722,486255.319,88.726
ROAD32,CROAD,2781960.144,486254.078,88.724
ROAD33,CROAD,2781960.646,486252.884,88.71
ROAD34,CROAD,2781961.109,486251.513,88.695
ROAD35,CROAD,2781961.515,486250.412,88.693
ROAD36,CROAD,2781955.033,486253.741,89.066
ROAD37,CROAD,2781955.478,486252.451,89.064
ROAD38,CROAD,2781955.923,486251.271,89.06
ROAD39,CROAD,2781956.386,486249.702,89.055
ROAD4,CROAD,2781989.384,486261.144,87.722
ROAD40,CROAD,2781956.743,486248.725,89.032
ROAD41,CROAD,2781950.384,486252.136,89.403
ROAD42,CROAD,2781950.731,486250.852,89.417
ROAD43,CROAD,2781951.195,486249.646,89.415
ROAD44,CROAD,2781951.695,486248.286,89.427
ROAD45,CROAD,2781952.006,486247.119,89.437
ROAD46,CROAD,2781945.547,486250.549,89.739
ROAD47,CROAD,2781946.028,486249.228,89.728
ROAD48,CROAD,2781946.486,486248.068,89.741
ROAD49,CROAD,2781946.908,486246.729,89.762
ROAD5,CROAD,2781989.688,486260.064,87.695
ROAD50,CROAD,2781947.267,486245.521,89.767
ROAD51,CROAD,2781942.134,486247.852,90.094
ROAD52,CROAD,2781941.364,486247.353,90.161
ROAD53,CROAD,2781941.717,486246.41,90.156
ROAD54,CROAD,2781942.263,486244.914,90.158
ROAD55,CROAD,2781942.596,486243.84,90.167
ROAD56,CROAD,2781936.133,486247.313,90.593
ROAD57,CROAD,2781936.567,486246.021,90.601
ROAD58,CROAD,2781936.989,486244.784,90.635
ROAD59,CROAD,2781937.41,486243.453,90.64
ROAD6,CROAD,2781983.38,486263.329,87.781
ROAD60,CROAD,2781937.876,486242.294,90.699
ROAD61,CROAD,2781931.481,486245.798,91.088
ROAD62,CROAD,2781931.902,486244.502,91.104
ROAD63,CROAD,2781932.262,486243.222,91.13
ROAD64,CROAD,2781932.729,486241.856,91.168
ROAD65,CROAD,2781933.083,486240.628,91.171
ROAD66,CROAD,2781926.73,486244.19,91.557
ROAD67,CROAD,2781927.208,486242.771,91.542
ROAD68,CROAD,2781927.587,486241.602,91.556
ROAD69,CROAD,2781928.065,486240.281,91.506
ROAD7,CROAD,2781983.871,486261.989,87.799
ROAD70,CROAD,2781928.458,486239.045,91.498
ROAD71,CROAD,2781921.938,486242.562,91.948
ROAD72,CROAD,2781922.429,486241.231,91.926
ROAD73,CROAD,2781922.869,486239.95,91.9
ROAD74,CROAD,2781923.331,486238.512,91.875
ROAD75,CROAD,2781923.701,486237.425,91.885
ROAD76,CROAD,2781917.334,486241.003,92.393
ROAD77,CROAD,2781917.781,486239.494,92.396
ROAD78,CROAD,2781918.236,486238.314,92.36
ROAD79,CROAD,2781918.869,486236.829,92.334
ROAD8,CROAD,2781984.25,486260.907,87.816
ROAD80,CROAD,2781919.271,486235.894,92.286
ROAD9,CROAD,2781984.67,486259.473,87.821
ROAD100,L5ROAD,2782008.865,486266.428,87.857
