Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
A100,ABUILD4,2781764.218,486196.763,97.263
A101,ABUILD4,2781766.906,486196.871,97.276
A102,ABUILD4,2781773.132,486193.025,96.138
A103,ABUILD4,2781776.349,486189.157,95.931
A104,ABUILD5,2781776.06,486182.773,96.543
A105,ABUILD5,2781776.98,486184.024,95.936
A106,ABUILD5,2781778.7,486182.962,96.007
A107,ABUILD5,2781783.911,486177.844,97.346
A108,ABUILD6,2781790.525,486168.978,97.467
A109,ABUILD6,2781791.968,486168.07,98.524
A110,ABUILD6,2781799.792,486161.346,98.506
A111,ABUILD7,2781802.724,486154.745,98.837
A112,ABUILD7,2781810.772,486147.883,98.36
A113,ABUILD8,2781819.813,486179.872,98.099
A114,ABUILD8,2781825.217,486185.736,98.117
A115,ABUILD9,2781834.966,486166.307,98.372
A116,ABUILDBOUND,2781813.254,486178.488,96.604
A117,ABUILDBOUND,2781814.8,486177.181,96.992
A118,ABUILDBOUND,2781820.19,486172.519,96.934
A119,ABUILDBOUND,2781841.531,486153.409,97.33
A120,ABUILDBOUND,2781784.129,486207.218,97.299
A121,ABUILDBOUND,2781822.363,486188.372,96.635
A122,ABUILDBOUND,2781824.15,486190.187,96.602
A123,ABUILDBOUND,2781824.629,486191.637,96.605
A124,ABUILD1,2781791.346,486219.683,102.976
A125,ABUILD1,2781796.293,486219.262,103.008
A126,ABUILD1,2781796.241,486218.132,102.868
A127,ABUILD1,2781806.501,486217.306,102.761
A128,ABUILD2,2781808.882,486218.349,103.029
A129,ABUILD2,2781813.852,486217.493,103.149
A130,ABUILD2,2781813.638,486216.401,102.76
A131,ABUILD2,2781823.638,486214.75,102.877
A132,ABUILD3,2781824.947,486213.677,99.921
A133,ABUILD3,2781829.701,486209.747,101.612
A134,ABUILD3,2781828.537,486207.119,100.254
A91,ABUILD0,2781776.026,486215.486,97.669
A92,ABUILD0,2781779.9,486217.844,97.754
A93,ABUILD0,2781780.684,486216.129,102.28
A94,ABUILD0,2781789.415,486221.425,102.154
A95,ABUILD4,2781773.291,486214.085,101.011
A96,ABUILD4,2781768.558,486216.984,102.234
A97,ABUILD4,2781769.291,486204.252,101.232
A98,ABUILD4,2781765.711,486200.871,101.611
A99,ABUILD4,2781772.522,486209.373,101.289
B1,BBUILD3,2781839.635,486200.172,99.943
B1,BUILD1,2781907.761,486290.506,99.482
B10,BBUILD4,2781833.883,486166.31,98.91
B11,BBUILD4,2781840.278,486173.351,98.942
B12,BBUILD4,2781846.855,486167.439,98.984
B13,BBUILD,2781831.692,486180.833,98.967
B14,BBUILD5,2781848.6,486167.414,98.936
B15,BBUILD5,2781855.068,486161.384,98.914
B2,BBUILD3,2781846.047,486206.874,99.945
B2,BUILD1,2781911.765,486298.918,99.456
B3,BBUILD3,2781834.028,486202.078,99.847
B3,BUILD1,2781902.841,486292.747,99.519
B4,BBUILD3,2781835.582,486203.906,99.929
B4,BUILD2,2781917.849,486293.257,99.534
B42,BBOUND,2781858.773,486159.078,96.352
B43,BBOUND,2781857.247,486157.469,96.337
B44,BBOUND,2781829.742,486164.32,96.347
B45,BBOUND,2781831.595,486162.596,96.334
B46,BBOUND,2781830.413,486200.216,95.976
B47,BBOUND,2781833.972,486197.124,95.887
B5,BBUILD2,2781825.438,486222.055,103.788
B5,BUILD2,2781929.259,486291.141,100.428
B6,BBUILD,2781825.217,486186.831,99.019
B6,BUILD2,2781931.977,486289.78,99.545
B7,BBUILD,2781833.705,486181.059,98.968
B7,BUILD2,2781935.537,486296.855,99.523
B8,BBUILD,2781840.261,486175.065,98.869
B9,BBUILD,2781834.055,486168.268,99.032
BO1,BOARD,2781915.291,486285.025,98.524
BO2,BOARD,2781914.877,486286.891,98.564
BO3,BOARD,2781914.879,486284.857,98.532
C68,CSIGNBOARD,2781918.49,486233.383,93.884
C69,CSIGNBOARD,2781919.327,486232.533,93.499
C70,CHOSP,2781935.064,486187.536,95.251
C71,CHOSP,2781940.422,486189.43,95.865
C72,CHOSP,2781944.832,486197.77,96.661
C73,CHOSP,2781947.117,486202.685,96.636
C74,CHOSP2,2781963.715,486214.063,96.603
C75,CHOSP2,2781966.831,486212.601,96.601
C76,CHOSPLIFT,2781955.539,486210.75,94.296
C77,CRIGBUILD,2782024.926,486234.983,97.785
C78,CRIGBUILD,2782024.669,486235.698,97.788
C79,CRIGBUILD,2782024.77,486235.836,96.861
C80,CRIGBUILD,2782024.692,486236.219,96.819
C81,CRIGBUILD,2782024.702,486236.539,96.816
C82,CRIGBUILD,2782024.828,486236.982,96.82
C83,CRIGBUILD,2782025.129,486237.405,96.796
C84,CRIGBUILD,2782025.288,486237.533,96.788
C85,CRIGBUILD,2782025.617,486237.703,96.76
C86,CRIGBUILD,2782025.978,486237.797,96.781
C87,CRIGBUILD,2782030.497,486236.651,97.643
C88,CRIGBUILD,2782031.134,486238.033,97.18
C89,CRIGBUILD,2782027.416,486236.758,97.793
C90,CRIGBUILD,2782027.83,486235.622,97.787
C91,CRIGBUILD,2782029.876,486235.316,98.069
DMESS1,DMESS,2781915.9,486266.785,98.587
DMESS2,DMESS,2781912.602,486268.465,98.613
DMESS3,DMESS,2781915.315,486273.793,98.497
DMESS4,DMESS,2781909.892,486276.589,98.677
DMESS5,DMESS,2781908.974,486280.17,98.728
DSHED1,DSHED,2781922.486,486274.574,98.299
DSHED2,DSHED,2781924.739,486273.795,98.218
DSHED3,DSHED,2781920.625,486273.062,98.367
DSHED4,DSHED,2781921.112,486270.652,98.365
DSHED5,DSHED,2781925.259,486271.457,98.215
DSHED6,DSHED,2781923.475,486269.844,98.295
E1,EOPD,2781880.018,486291.066,102.094
E10,Ebuild,2781901.812,486288.514,98.501
E11,Ebuild,2781900.271,486285.402,98.56
E12,Ebuild,2781899.2,486288.708,98.456
E2,EOPD,2781881.35,486291.638,101.958
E3,EOPD,2781878.295,486299.291,102.034
E4,Ebuild,2781894.264,486296.802,100.942
E46,Emess,2781902.706,486277.74,102.098
E47,Emess,2781902.695,486277.715,102.099
E48,Emess,2781900.622,486275.32,102.775
E49,Emess,2781900.553,486275.356,102.765
E5,Ebuild,2781896.527,486295.733,100.943
E51,Emess,2781891.486,486270.578,100.741
E52,Emess,2781892.301,486264.233,102.069
E53,Eaahar bihar,2781891.484,486270.577,100.737
E54,Eaahar bihar,2781892.58,486272.661,100.744
E55,Eaahar bihar,2781892.971,486272.517,100.902
E56,Eaahar bihar,2781893.277,486272.339,100.688
E57,Econtour,2781885.128,486287.842,99.08
E58,Econtour,2781883.641,486290.926,99.05
E59,Econtour,2781888.751,486289.051,98.603
E6,Ebuild,2781900.893,486293.675,100.961
E60,Econtour,2781888.378,486289.36,98.542
E61,Econtour,2781888.038,486290.42,98.356
E62,Econtour,2781887.858,486290.913,98.282
E63,Econtour,2781887.541,486291.688,98.189
E64,Econtour,2781887.184,486292.569,98.049
E65,Econtour,2781886.875,486293.249,97.938
E66,Econtour,2781886.456,486294.357,97.737
E67,Econtour,2781886.002,486295.759,97.457
E7,Ebuild,2781907.127,486291.715,99.331
E8,Ebuild,2781901.812,486293.794,98.479
E9,Ebuild,2781903.566,486292.109,98.469
EP,EOPD,2781881.823,486286.2,101.922
F1,FBUILDOFFICE,2781813.748,486264.554,100.026
F10,PARKBOUN,2781814.217,486246.907,99.943
F103,FFENCE,2781807.38,486237.568,100.236
F104,FFENCE,2781804.841,486238.253,100.209
F11,PETROLPUMP,2781815.083,486247.383,99.826
F12,PETROLPUMP,2781815.439,486247.22,99.841
F13,PETROLPUMP,2781815.233,486246.795,99.822
F14,PETROLPUMP,2781815.323,486246.505,99.82
F15,PETROLPUMP,2781814.997,486245.748,99.785
F16,PETROLPUMP,2781814.94,486245.668,99.78
F17,PETROLPUMP,2781814.615,486245.22,99.752
