Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
G,CP,2781765.138,486254.395,98.969
H,CP,2781719.749,486381.701,100.322
GWF1,GWIREFENCE,2781759.647,486257.974,99.426
GWF2,GWIREFENCE,2781759.647,486257.974,99.426
GWF3,GWIREFENCE,2781756.113,486257.358,98.954
GWF4,GWIREFENCE,2781749.218,486256.449,97.902
GWF5,GWIREFENCE,2781742.608,486255.986,96.854
GWF6,GWIREFENCE,2781737.064,486255.238,97.996
GWF7,GWIREFENCE,2781731.438,486254.371,97.5
GWF8,GWIREFENCE,2781725.789,486253.309,97
GWF9,GWIREFENCE,2781721.445,486252.573,96.613
GWF10,GWIREFENCE,2781715.315,486251.582,96.068
GR1,GROADE,2781812.692,486245.309,99.563
GR2,GROADE,2781807.654,486240.306,99.566
GR3,GROADE,2781801.875,486247.964,99.663
GR4,GROADE,2781793.483,486243.915,99.531
GR5,GROADE,2781786.798,486251.684,99.553
GR6,GROADE,2781774.279,486248.465,99.462
GR7,GROADE,2781777.522,486253.865,99.436
GR8,GROADE,2781771.602,486262.397,98.564
GR9,GROADE,2781765.416,486273.015,98.425
GR10,GROADE,2781758.318,486269.743,98.463
GR11,GROADE,2781757.437,486286.899,98.637
GR12,GROADE,2781752.909,486286.033,98.635
GR13,GROADE,2781750.262,486304.245,98.94
GR14,GROADE,2781747.165,486303.345,98.966
GR15,GROADE,2781744.807,486318.135,99.026
GR16,GROADE,2781742.076,486316.691,99.072
GR17,GROADE,2781739.29,486332.505,99.246
GR18,KACCHBA GROADE,2781756.093,486257.288,97.911
GR19,GKACCHBA GROADE,2781749.199,486256.385,97.202
GR20,GKACCHBA GROADE,2781742.657,486255.887,96.578
GR21,GKACCHBA GROADE,2781737.011,486255.078,96.184
GR22,GKACCHBA GROADE,2781731.481,486254.231,95.814
GR23,GKACCHBA GROADE,2781725.93,486253.172,95.299
GR24,GKACCHBA GROADE,2781721.431,486252.416,95.223
GR25,GKACCHBA GROADE,2781715.353,486251.441,95.113
GR26,GKACCHBA GROADE,2781709.666,486249.609,95.181
GR27,GKACCHBA GROADE,2781760.172,486254.72,98.435
GR28,GKACCHBA GROADE,2781756.851,486254.326,98.05
GR29,GKACCHBA GROADE,2781753.223,486253.653,97.623
GFA1,FARM,2781717.62,486278.49,94.951
GFA2,GFARM,2781712.827,486273.052,95.048
GFA3,GFARM,2781706.363,486277.341,95.106
GFA4,GFARM,2781730.584,486292.888,95.376
GFA5,GFARM,2781748.393,486268.828,95.133
GR,GROADE,2781762.184,486257.932,98.722
F,CP,2781827.962,486252.029,98.944
F27,FROAD,2781813.597,486238.848,99.481
F28,FROAD,2781806.551,486241.036,99.602
F29,FROAD,2781823.988,486235.706,98.943
F30,FROAD,2781833.82,486232.588,98.496
F31,FROAD,2781837.529,486260.826,98.914
F32,FROAD,2781846.215,486264.44,98.933
F33,FROAD,2781849.763,486265.994,98.964
F34,FROAD,2781849.449,486267.417,98.891
F35,FROAD,2781851.075,486268.158,98.951
F36,FROAD,2781852.86,486264.756,98.997
F37,FROAD,2781857.894,486266.857,98.993
F38,FROAD,2781871.929,486276.517,99.096
F39,FROAD,2781870.549,486276.003,99.089
F40,FROAD,2781873.793,486275.084,99.066
F41,FROAD,2781872.587,486276.777,99.1
F42,FROAD,2781874.504,486272.765,99.017
F43,FROAD,2781857.905,486264.837,99.001
