Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
GP,GPOLE,2781763.844,486252.839,100.296
F97,FPOLE,2781841.487,486236.37,103.321
H133,HPOLE,2781674.088,486363.308,100.73
H134,HPOLE,2781708.748,486372.382,102.197
H135,HPOLE,2781729.486,486342.998,101.76
H139,HPOLE,2781728.826,486384.146,102.402
I47,IPOLE,2781600.476,486334.405,105.534
I48,IPOLE,2781595.459,486329.954,105.098
I49,IPOLE,2781643.292,486351.367,106.19
C21,CPOLE,2781943.33,486243.103,91.302
C22,CPOLE,2781920.326,486230.005,94.065
C23,CPOLE,2781929.011,486206.679,95.405
