Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
G,CP,2781765.138,486254.395,98.969
H,CP,2781719.749,486381.701,100.322
GF1,GFENCE,2781772.228,486246.603,100.212
GF2,GFENCE,2781769.656,486247.341,100.272
GF3,GFENCE,2781784.199,486243.678,100.115
GF4,GFENCE,2781786.884,486243.006,100.072
GF5,GFENCE,2781764.468,486248.672,100.179
GWF1,GWIREFENCE,2781759.647,486257.974,99.426
GWF2,GWIREFENCE,2781759.647,486257.974,99.426
GWF3,GWIREFENCE,2781756.113,486257.358,98.954
GWF4,GWIREFENCE,2781749.218,486256.449,97.902
GWF5,GWIREFENCE,2781742.608,486255.986,96.854
GWF6,GWIREFENCE,2781737.064,486255.238,97.996
GWF7,GWIREFENCE,2781731.438,486254.371,97.5
GWF8,GWIREFENCE,2781725.789,486253.309,97
GWF9,GWIREFENCE,2781721.445,486252.573,96.613
GWF10,GWIREFENCE,2781715.315,486251.582,96.068
GP,GPOLE,2781763.844,486252.839,100.296
GRARSALA,GRASSALA,2781716.297,486293.653,99.873
GRARSALB,GRASSALA,2781724.154,486311.489,101.724
GB1,GBUILD,2781792.624,486227.179,101.29
GB2,GBUILD1,2781811.006,486227.18,101.458
GR1,GROADE,2781812.692,486245.309,99.563
GR2,GROADE,2781807.654,486240.306,99.566
GR3,GROADE,2781801.875,486247.964,99.663
GR4,GROADE,2781793.483,486243.915,99.531
GR5,GROADE,2781786.798,486251.684,99.553
GR6,GROADE,2781774.279,486248.465,99.462
GR7,GROADE,2781777.522,486253.865,99.436
GR8,GROADE,2781771.602,486262.397,98.564
GR9,GROADE,2781765.416,486273.015,98.425
GR10,GROADE,2781758.318,486269.743,98.463
GR11,GROADE,2781757.437,486286.899,98.637
GR12,GROADE,2781752.909,486286.033,98.635
GR13,GROADE,2781750.262,486304.245,98.94
GR14,GROADE,2781747.165,486303.345,98.966
GR15,GROADE,2781744.807,486318.135,99.026
GR16,GROADE,2781742.076,486316.691,99.072
GR17,GROADE,2781739.29,486332.505,99.246
GR18,KACCHBA GROADE,2781756.093,486257.288,97.911
GR19,GKACCHBA GROADE,2781749.199,486256.385,97.202
GR20,GKACCHBA GROADE,2781742.657,486255.887,96.578
GR21,GKACCHBA GROADE,2781737.011,486255.078,96.184
GR22,GKACCHBA GROADE,2781731.481,486254.231,95.814
GR23,GKACCHBA GROADE,2781725.93,486253.172,95.299
GR24,GKACCHBA GROADE,2781721.431,486252.416,95.223
GR25,GKACCHBA GROADE,2781715.353,486251.441,95.113
GR26,GKACCHBA GROADE,2781709.666,486249.609,95.181
GR27,GKACCHBA GROADE,2781760.172,486254.72,98.435
GR28,GKACCHBA GROADE,2781756.851,486254.326,98.05
GR29,GKACCHBA GROADE,2781753.223,486253.653,97.623
GFA1,FARM,2781717.62,486278.49,94.951
GFA2,GFARM,2781712.827,486273.052,95.048
GFA3,GFARM,2781706.363,486277.341,95.106
GFA4,GFARM,2781730.584,486292.888,95.376
GFA5,GFARM,2781748.393,486268.828,95.133
GR,GROADE,2781762.184,486257.932,98.722
F,CP,2781827.962,486252.029,98.944
F1,FBUILDOFFICE,2781813.748,486264.554,100.026
F2,FBUILDOFFICE,2781846.409,486266.749,100.284
F3,FBUILDOFFICE,2781810.714,486262.313,100.852
F4,PARKBOUN,2781812.897,486259.448,99.943
F5,PARKBOUN,2781811.22,486263.444,99.806
