Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
A,CP,2781778.831,486211.503,95.87526
B,CP,2781842.598,486176.469,96.4761
C,CP,2781941.073,486248.62,90.16
D,CP,2781933.116,486274.104,97.787176
E,CP,2781890.1,486286.031,99.09749
F,CP,2781827.962,486252.029,98.94441
G,CP,2781765.138,486254.395,98.96946
H,CP,2781719.749,486381.701,100.3218
I,CP,2781570.587,486328.531,101.6063
J,CP,2781594.856,486258.729,100.5649
K,CP,2781682.542,486296.744,96.55186
L,CP,2781746.08,486251.584,97.08175
