Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
A10,AFOUN,2781800.796,486198.241,95.743
A11,AFOUN,2781800.501,486196.642,95.668
A12,AFOUN,2781799.96,486196.015,95.642
A13,AFOUN,2781796.351,486195.641,95.648
A14,AFOUN,2781795.291,486199.302,95.767
A15,AFOUN,2781796.312,486200.453,95.816
A3,AFOUN,2781795.982,486200.193,95.764
A4,AFOUN,2781797.528,486200.889,95.813
A5,AFOUN,2781797.527,486200.886,95.813
A6,AFOUN,2781797.507,486200.889,95.812
A7,AFOUN,2781798.901,486200.771,95.796
A8,AFOUN,2781798.9,486200.762,95.793
A9,AFOUN,2781800.011,486200.073,95.79
F54,FPOND,2781841.607,486241.74,99.383
F55,FPOND,2781841.598,486241.747,99.382
F56,FPOND,2781842.219,486241.246,99.367
F57,FPOND,2781843.929,486241.508,99.311
F58,FPOND,2781844.382,486242.227,99.364
